OA,geography_code
N20000579,N21000132
N20000580,N21000130
N20000581,N21000130
N20000582,N21000133
N20000583,N21000133
N20000584,N21000134
N20000585,N21000132
N20000586,N21000132
N20000587,N21000134
N20000588,N21000133
N20000589,N21000135
N20000590,N21000135
N20000591,N21000135
N20000592,N21000135
N20000593,N21000135
N20000594,N21000136
N20000595,N21000136
N20000596,N21000136
N20000597,N21000136
N20000598,N21000137
N20000599,N21000136
N20000600,N21000137
N20000601,N21000137
N20000602,N21000137
N20000603,N21000139
N20000604,N21000138
N20000605,N21000141
N20000606,N21000141
N20000607,N21000139
N20000608,N21000138
N20000609,N21000138
N20000610,N21000138
N20000611,N21000139
N20000612,N21000140
N20000613,N21000140
N20000614,N21000146
N20000615,N21000139
N20000616,N21000139
N20000617,N21000140
N20000618,N21000140
N20000619,N21000139
N20000620,N21000140
N20000621,N21000143
N20000622,N21000139
N20000623,N21000144
N20000624,N21000142
N20000625,N21000143
N20000626,N21000144
N20000627,N21000143
N20000628,N21000144
N20000629,N21000141
N20000630,N21000142
N20000631,N21000140
N20000632,N21000142
N20000633,N21000144
N20000634,N21000142
N20000635,N21000144
N20000636,N21000143
N20000637,N21000145
N20000638,N21000145
N20000639,N21000143
N20000640,N21000145
N20000641,N21000145
N20000642,N21000141
N20000643,N21000145
N20000644,N21000141
N20000645,N21000146
N20000646,N21000147
N20000647,N21000147
N20000648,N21000146
N20000649,N21000147
N20000650,N21000148
N20000651,N21000148
N20000652,N21000147
N20000653,N21000146
N20000654,N21000147
N20000655,N21000148
N20000656,N21000148
N20000657,N21000146
N20000658,N21000148
N20000659,N21000149
N20000660,N21000149
N20000661,N21000149
N20000662,N21000149
N20000663,N21000149
N20000664,N21000154
N20000665,N21000154
N20000666,N21000151
N20000667,N21000150
N20000668,N21000151
N20000669,N21000151
N20000670,N21000150
N20000671,N21000151
N20000672,N21000153
N20000673,N21000151
N20000674,N21000154
N20000675,N21000150
N20000676,N21000153
N20000677,N21000151
N20000678,N21000152
N20000679,N21000152
N20000680,N21000152
N20000681,N21000154
N20000682,N21000155
N20000683,N21000155
N20000684,N21000155
N20000685,N21000153
N20000686,N21000155
N20000687,N21000156
N20000688,N21000154
N20000689,N21000156
N20000690,N21000156
N20000691,N21000156
N20000692,N21000157
N20000693,N21000159
N20000694,N21000157
N20000695,N21000159
N20000696,N21000158
N20000697,N21000158
N20000698,N21000158
N20000699,N21000159
N20000700,N21000158
N20000701,N21000160
N20000702,N21000159
N20000703,N21000159
N20000704,N21000157
N20000705,N21000160
N20000706,N21000160
N20000707,N21000160
N20000708,N21000157
N20000709,N21000159
N20000710,N21000160
N20000711,N21000161
N20000712,N21000161
N20000713,N21000161
N20000714,N21000162
N20000715,N21000164
N20000716,N21000163
N20000717,N21000162
N20000718,N21000162
N20000719,N21000161
N20000720,N21000162
N20000721,N21000161
N20000722,N21000163
N20000723,N21000163
N20000724,N21000164
N20000725,N21000164
N20000726,N21000165
N20000727,N21000163
N20000728,N21000166
N20000729,N21000165
N20000730,N21000166
N20000731,N21000164
N20000732,N21000165
N20000733,N21000165
N20000734,N21000167
N20000735,N21000167
N20000736,N21000166
N20000737,N21000170
N20000738,N21000167
N20000739,N21000165
N20000740,N21000168
N20000741,N21000167
N20000742,N21000170
N20000743,N21000169
N20000744,N21000169
N20000745,N21000167
N20000746,N21000172
N20000747,N21000171
N20000748,N21000168
N20000749,N21000172
N20000750,N21000171
N20000751,N21000168
N20000752,N21000169
N20000753,N21000170
N20000754,N21000175
N20000755,N21000172
N20000756,N21000170
N20000757,N21000171
N20000758,N21000174
N20000759,N21000175
N20000760,N21000173
N20000761,N21000171
N20000762,N21000173
N20000763,N21000171
N20000764,N21000175
N20000765,N21000174
N20000766,N21000175
N20000767,N21000172
N20000768,N21000173
N20000769,N21000175
N20000770,N21000174
N20000771,N21000176
N20000772,N21000178
N20000773,N21000177
N20000774,N21000178
N20000775,N21000175
N20000776,N21000174
N20000777,N21000176
N20000778,N21000176
N20000779,N21000177
N20000780,N21000176
N20000781,N21000177
N20000782,N21000176
N20000783,N21000178
N20000784,N21000177
N20000785,N21000178
N20000786,N21000178
N20000787,N21000179
N20000788,N21000179
N20000789,N21000179
N20000790,N21000180
N20000791,N21000180
N20000792,N21000180
N20000793,N21000180
N20000794,N21000181
N20000795,N21000181
N20000796,N21000182
N20000797,N21000181
N20000798,N21000183
N20000799,N21000182
N20000800,N21000183
N20000801,N21000183
N20000802,N21000184
N20000803,N21000184
N20000804,N21000186
N20000805,N21000185
N20000806,N21000185
N20000807,N21000187
N20000808,N21000182
N20000809,N21000185
N20000810,N21000186
N20000811,N21000186
N20000812,N21000184
N20000813,N21000186
N20000814,N21000187
N20000815,N21000187
N20000816,N21000187
N20000817,N21000186
N20000818,N21000189
N20000819,N21000185
N20000820,N21000185
N20000821,N21000188
N20000822,N21000189
N20000823,N21000188
N20000824,N21000189
N20000825,N21000192
N20000826,N21000190
N20000827,N21000187
N20000828,N21000188
N20000829,N21000188
N20000830,N21000189
N20000831,N21000190
N20000832,N21000190
N20000833,N21000193
N20000834,N21000189
N20000835,N21000191
N20000836,N21000193
N20000837,N21000191
N20000838,N21000193
N20000839,N21000193
N20000840,N21000193
N20000841,N21000194
N20000842,N21000195
N20000843,N21000194
N20000844,N21000195
N20000845,N21000194
N20000846,N21000196
N20000847,N21000195
N20000848,N21000196
N20000849,N21000196
N20000850,N21000195
N20000851,N21000196
N20000852,N21000196
N20000853,N21000195
N20000854,N21000192
N20000855,N21000192
N20000856,N21000197
N20000857,N21000198
N20000858,N21000197
N20000859,N21000197
N20000860,N21000199
N20000861,N21000199
N20000862,N21000199
N20000863,N21000199
N20000864,N21000199
N20000865,N21000200
N20000866,N21000200
N20000867,N21000201
N20000868,N21000200
N20000869,N21000200
N20000870,N21000202
N20000871,N21000201
N20000872,N21000200
N20000873,N21000202
N20000874,N21000202
N20000875,N21000201
N20000876,N21000203
N20000877,N21000202
N20000878,N21000205
N20000879,N21000201
N20000880,N21000202
N20000881,N21000203
N20000882,N21000198
N20000883,N21000203
N20000884,N21000198
N20000885,N21000198
N20000886,N21000204
N20000887,N21000204
N20000888,N21000205
N20000889,N21000206
N20000890,N21000206
N20000891,N21000205
N20000892,N21000208
N20000893,N21000207
N20000894,N21000204
N20000895,N21000206
N20000896,N21000204
N20000897,N21000206
N20000898,N21000210
N20000899,N21000205
N20000900,N21000208
N20000901,N21000207
N20000902,N21000211
N20000903,N21000208
N20000904,N21000209
N20000905,N21000207
N20000906,N21000205
N20000907,N21000210
N20000908,N21000212
N20000909,N21000211
N20000910,N21000207
N20000911,N21000208
N20000912,N21000209
N20000913,N21000212
N20000914,N21000213
N20000915,N21000213
N20000916,N21000210
N20000917,N21000210
N20000918,N21000209
N20000919,N21000213
N20000920,N21000210
N20000921,N21000213
N20000922,N21000212
N20000923,N21000211
N20000924,N21000209
N20000925,N21000214
N20000926,N21000216
N20000927,N21000215
N20000928,N21000212
N20000929,N21000211
N20000930,N21000214
N20000931,N21000213
N20000932,N21000215
N20000933,N21000214
N20000934,N21000217
N20000935,N21000216
N20000936,N21000215
N20000937,N21000216
N20000938,N21000214
N20000939,N21000217
N20000940,N21000218
N20000941,N21000218
N20000942,N21000217
N20000943,N21000218
N20000944,N21000217
N20000945,N21000220
N20000946,N21000219
N20000947,N21000219
N20000948,N21000220
N20000949,N21000219
N20000950,N21000220
